hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-146.94358005301342,-146.94358005301342,3.0,2.3,1
2,-146.94361408079743,-146.94361408079743,3.0,2.6449999999999996,1
3,-146.94361408079743,-146.94356404665672,3.0,3.041749999999999,1
4,-146.94361408079743,-146.94350131557164,3.0,3.498012499999999,1
5,-146.94366425802426,-146.94366425802426,3.0,4.022714374999999,1
6,-146.94366425802426,-146.94358958094517,3.0,4.626121531249998,1
7,-146.94366425802426,-146.94352359424963,3.0,5.320039760937497,1
8,-146.94366425802426,-146.94355121188704,3.0,6.1180457250781215,1
9,-146.94366425802426,-146.94361160494103,3.0,7.035752583839839,1
10,-146.9436704594554,-146.9436704594554,3.0,8.091115471415815,1
