hop,cos_like,sin_like,Tx,Ty,Tz,Cx,Cy,f
0,-0.5881630401352962,-1.0,1.7779139285438508,2.879177694190419,3.5826118470006754,2.43897976737538,1.2713245496208598,-102.48583461916928
1,-0.5188510877329127,-0.8548646376815299,1.7643769616123277,3.006048795364065,3.5361831762161384,2.2275801811896185,1.327666970828345,-103.2642461571145
2,-0.5187114994319302,-0.8549493437374396,1.7647609963237934,3.0049826873930408,3.53672234224107,2.686508428162167,1.4191767922864666,-103.26426455134923
3,-0.5187184115943988,-0.8549451499792159,1.7625441079627344,3.0069879784253617,3.536480332663996,3.0,1.208749018685237,-103.26423759798963
4,-0.5188142002809353,-0.85488702504299,1.7645009266739318,3.0044265409522857,3.536068533595334,2.948093178184758,1.1518038065198393,-103.2642752528857
5,-0.5191552763029731,-0.8546799395602918,1.760945507680772,3.0077115855401315,3.5351795359440352,2.502192839563231,1.8909877093162883,-103.26405763048915
6,-0.5187698098742518,-0.8549139631349068,1.7630105660526785,3.0063746866515726,3.5356702582453363,3.0,1.816527810683941,-103.2643452395381
7,-0.5187551489227756,-0.8549228593657494,1.762995554928854,3.0058477727484747,3.5365154218460138,3.0,1.7163166067641846,-103.26430147115198
8,-0.5189891833840281,-0.8547808067161895,1.7625774690179414,3.006584290455253,3.536224143423139,2.5863332757494497,1.9010216084579776,-103.26439935370419
9,-0.5185284909873494,-0.8550603511065065,1.7630383945069006,3.006845315196849,3.536628150880797,1.553370536050587,2.0786797863677466,-103.26415438409741
10,-0.5185264519588965,-0.8550615876174759,1.7623608944171403,3.0053952099384893,3.5362841090235526,1.2434582059434363,1.5902127036713942,-103.2641503250779
